Symbol,Year,Return,Sigma
XOM,2019,6.984578819,7.809834899
CVX,2019,14.45522304,9.276066318
DUK,2019,9.425755705,6.455080999
ED,2019,14.63131015,8.854710208
AEP,2019,13.8028262,7.530140376
SHW,2019,15.76753932,15.03085615
DD,2019,31.03722112,59.75020949
BA,2019,24.12621578,29.68558273
UNP,2019,22.17136961,19.05735048
AMZN,2019,37.72625454,31.60706408
MCD,2019,17.19525268,9.498881556
KO,2019,13.18076169,9.645090026
PG,2019,11.357425,9.022332635
UNH,2019,23.82359434,15.11849689
JNJ,2019,13.4810365,7.963711081
BRK-A,2019,5.158672545,9.136139936
JPM,2019,25.82503376,17.39944683
AAPL,2019,35.24246507,31.2209065
MSFT,2019,26.87089411,16.43384398
FB,2019,29.34346118,35.93903979
GOOG,2019,13.94555189,16.1374182
AMT,2019,21.04131503,11.33003831
SPG,2019,9.597516207,13.41948744
